# Atmospheric Parameters, from z=-10Mm to z=68Mm
#
# Below z=-100km, HSRASP
# Above z=-100km, Model C7 from Avrett and Loeser 2008
# HSRASP: Chapman ApJ 232 923 (1979)
# DOI: 10.1086/157355
# Model C7: Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
#
# 0: z[km] height from z=0km, where z=0km is where tau_5000=1
# 1: T[K]
# 2: P_gas[dyn/cm^2] gas pressure
# 3: rho_tot[g/cm^3] total mass density
# 4: nH[1/cm^3] total hydrogen number density
# 5: mu[a.m.u.] mean molecular weight
# 6: X_H Hydrogen mass fraction
#
# z, T, P_gas, rho_tot, nH, mu, X_H
1.75000e+07 5.08000e+03 3.31900e+04 1.00849e-07 4.30300e+16 1.27300e+00 7.14061e-01
1.50000e+07 5.16500e+03 4.06000e+04 1.21356e-07 5.17800e+16 1.27300e+00 7.14061e-01
1.25000e+07 5.28800e+03 4.94200e+04 1.44277e-07 6.15600e+16 1.27300e+00 7.14061e-01
1.00000e+07 5.43100e+03 5.97900e+04 1.69940e-07 7.25100e+16 1.27300e+00 7.14061e-01
7.50000e+06 5.60700e+03 7.18600e+04 1.97830e-07 8.44100e+16 1.27300e+00 7.14061e-01
5.00000e+06 5.82600e+03 8.57000e+04 2.27033e-07 9.68700e+16 1.27300e+00 7.14061e-01
3.50000e+06 6.00600e+03 9.48900e+04 2.43743e-07 1.04000e+17 1.27300e+00 7.14061e-01
2.00000e+06 6.23100e+03 1.04700e+05 2.59446e-07 1.10700e+17 1.27300e+00 7.14061e-01
1.00000e+06 6.39700e+03 1.11600e+05 2.69289e-07 1.14900e+17 1.27300e+00 7.14061e-01
0.00000e+00 6.58300e+03 1.18800e+05 2.78429e-07 1.18800e+17 1.27300e+00 7.14061e-01
-1.00000e+06 6.78000e+03 1.26100e+05 2.86632e-07 1.22300e+17 1.27300e+00 7.14061e-01
-2.00000e+06 7.02000e+03 1.33600e+05 2.93195e-07 1.25100e+17 1.27300e+00 7.14061e-01
-3.00000e+06 7.28000e+03 1.41100e+05 2.98585e-07 1.27400e+17 1.27300e+00 7.14061e-01
-4.00000e+06 7.59000e+03 1.48900e+05 3.01632e-07 1.28700e+17 1.27300e+00 7.14061e-01
-5.00000e+06 7.90000e+03 1.57000e+05 3.05382e-07 1.30300e+17 1.27300e+00 7.14061e-01
