# Atmospheric Parameters for Model C7
# Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
# 
# 
# 0: h[cm], height from z=0km
# 1: m[g/cm^2], column mass = P_tot/g_acc
# 2: T[K], temperature
# 3: P_gas[dyn/cm^2], gas pressure
# 4: P_tot[dyn/cm^2], total pressure = P_gas + P_turbulence
# 5: nH_tot[1/cm^3], total hydrogen density
# 
# 
# h[cm], m[g/cm^2], T[k], P_gas[dyn/cm^2], P_tot[dyn/cm^2], nH_tot[1/cm^3]
3.50000e+06 3.567e+00 6.006e+03 9.489e+04 9.772e+04 1.040e+17
2.00000e+06 3.944e+00 6.231e+03 1.047e+05 1.081e+05 1.107e+17
1.00000e+06 4.208e+00 6.397e+03 1.116e+05 1.153e+05 1.149e+17
0.00000e+00 4.482e+00 6.583e+03 1.188e+05 1.228e+05 1.188e+17
-1.00000e+06 4.765e+00 6.780e+03 1.261e+05 1.305e+05 1.223e+17
-2.00000e+06 5.055e+00 7.020e+03 1.336e+05 1.385e+05 1.251e+17
-3.00000e+06 5.351e+00 7.280e+03 1.411e+05 1.466e+05 1.274e+17
-4.00000e+06 5.651e+00 7.590e+03 1.489e+05 1.548e+05 1.287e+17
-5.00000e+06 5.954e+00 7.900e+03 1.570e+05 1.631e+05 1.303e+17
-6.00000e+06 6.261e+00 8.220e+03 1.654e+05 1.715e+05 1.315e+17
-7.00000e+06 6.570e+00 8.540e+03 1.738e+05 1.800e+05 1.326e+17
-8.00000e+06 6.882e+00 8.850e+03 1.823e+05 1.886e+05 1.336e+17
-9.00000e+06 7.197e+00 9.120e+03 1.909e+05 1.972e+05 1.351e+17
-1.00000e+07 7.515e+00 9.380e+03 1.995e+05 2.059e+05 1.366e+17
